nm_Kit_ID,mb_replicate,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,Status,Site_number_CHECK,GCN_Positive_Square,GCN_Negative_Square,Surveyor,1_km_square,Grid_reference,Easting,Northing,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P,Acti_Angu_Angu_Anguangu,Acti_Cypr_Cobi_Cobitean,Acti_Cypr_Cypr_Abrabram,Acti_Cypr_Cypr_Albuunk,Acti_Cypr_Cypr_Blicunk,Acti_Cypr_Cypr_Caracara,Acti_Cypr_Cypr_Cyprcarp,Acti_Cypr_Cypr_Gobigobi,Acti_Cypr_Cypr_Leucidus,Acti_Cypr_Cypr_Phoxphox,Acti_Cypr_Cypr_Pimeprom,Acti_Cypr_Cypr_Rutiruti,Acti_Cypr_Cypr_Tinctinc,Acti_Cypr_Nema_Barbbarb,Acti_Esoc_Esoc_Esoxluci,Acti_Gast_Gast_Gastacul,Acti_Perc_Perc_Percluci,Amph_Anur_Bufo_Bufobufo,Amph_Anur_Rani_Ranatemp,Amph_Caud_Sala_Lisshelv,Amph_Caud_Sala_Lissvulg,Amph_Caud_Sala_Tritcris,Aves_Acci_Acci_Butebute,Aves_Anse_Anat_Aixgale,Aves_Anse_Anat_Anastado,Aves_Anse_Anat_Anatsp,Aves_Char_Lari_Larusp,Aves_Colu_Colu_Colulivi,Aves_Colu_Colu_Colusp,Aves_Gall_Phas_Phascolc,Aves_Grui_Rall_Fuliatra,Aves_Grui_Rall_Gallchlo,Aves_Pass_Acro_Acroscir,Aves_Pass_Corv_Garrglan,Aves_Pass_Corv_Picapica,Aves_Pass_Musc_Eritrube,Aves_Pass_Musc_Turdsp,Aves_Pass_Panu_Panubiar,Aves_Pass_Pari_Parumajo,Aves_Pass_Pass_Pass1,Aves_Pass_Pass_Pass2,Aves_Pass_Prun_Prunmodu,Aves_Pass_Stur_Sturvulg,Aves_Pass_Sylv_Sylvatri,Aves_Pass_Trog_Trogtrog,Aves_Pele_Arde_Ardecine,Aves_Pici_Pici_Dendmajo,Aves_Pici_Pici_Picuviri,Aves_Stri_Stri_Strisp,Mamm_Arti_Cerv_Caprcapr,Mamm_Arti_Cerv_Cervelap,Mamm_Arti_Cerv_Damadama,Mamm_Arti_Cerv_Hydriner,Mamm_Arti_Cerv_Muntreev,Mamm_Carn_Cani_Vulpvulp,Mamm_Carn_Must_Lutrlutr,Mamm_Carn_Must_Melemele,Mamm_Chir_Vesp_Myotnatt,Mamm_Chir_Vesp_Pipiaust,Mamm_Euli_Sori_Sorearan,Mamm_Euli_Talp_Talpeuro,Mamm_Rode_Cric_Arviterr,Mamm_Rode_Cric_Micragre,Mamm_Rode_Cric_Myodglar,Mamm_Rode_Muri_Apodsylv,Mamm_Rode_Muri_Rattnorv,Mamm_Rode_Sciu_Sciucaro
FHT681,1,2017/05/13 00:00:00,2017/05/13 00:00:00,MATCH,346 Oxford Brookes Wheatley Campus,346 (SP5941105935),0.5250544662309369,346,Oxford Brookes Wheatley Campus,Freshwater Habitats Trust,IS,NA,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,12,9,Positive,346,NA,1,Ian,SP6005,SP6002705952,460027,205952,9,Positive,FALSE,FALSE,NA,Positive,1,263,1,3,100,3,3,11,3,5,0.6275574594685474,NA,346,N,Y,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281296,8301,0,0,94847,549,0,3033,44955,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT685,1,2017/05/21 00:00:00,2017/05/21 00:00:00,MATCH,"512 North Stoke, W of Thames",512 (SU 60542 86155),0.5142857142857143,512,"North Stoke, W of Thames",Freshwater Habitats Trust,Jeremy,2017/05/21 19:00:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/30 00:00:00,12,0,Negative,512,NA,1,Ian,SU6086,SU6054286155,460542,186155,0,Negative,FALSE,TRUE,NA,Negative,1,400,2,3,100,3,3,4,3,0,0.6476954042226892,NA,512,N,N,<0.2,0.2-0.5,1,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20544,0,0,0,0,15816,0,0,0,0,0,0,31836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT673,1,2017/05/13 00:00:00,2017/05/13 00:00:00,MATCH,260 WSW of Cumnor Post Office,260 04154 (SP 46050 04154),0.5138152077807251,260,WSW of Cumnor Post Office,Freshwater Habitats Trust,IS,2017/05/13 19:30:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/25 00:00:00,12,0,Negative,260,NA,1,Ian,SP4604,SP4605004154,446050,204154,0,Negative,FALSE,TRUE,NA,Negative,1,280,1,3,1,3,3,8,3,80,0.8265763226168908,NA,260,N,N,<0.2,0.2-0.5,1,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25582,0,0,0,0,0,27980,0,0,0,0,0,0,0,0,0,58644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT714,1,2017/05/13 00:00:00,2017/05/13 00:00:00,MATCH,36 Grounds of Watch Hill  BUT Braesnose Wood / Shotover CP,36 - Brasenose (SP 55993 05600),0.5136207987088051,36,Grounds of Watch Hill  BUT Braesnose Wood / Shotover CP,Freshwater Habitats Trust,Jeremy,NA,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,12,0,Negative,36,1,NA,Ian,SP5605,SP5623305528,456233,205528,0,Negative,FALSE,TRUE,Negative,NA,1,50,3,4,100,3,4,5,0,2,0.32050374663008907,NA,36,N,N,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119283,0,0,0,0,0,0,0,87891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT683,NA,2017/05/13 00:00:00,2017/05/13 00:00:00,MATCH,"282 Garden of 'Fairholme' Fox Lane, Boars Hill",282 (SP 4801),0.5022296544035675,282,"Garden of 'Fairholme' Fox Lane, Boars Hill",Freshwater Habitats Trust,IS,2017/05/13 18:00:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,12,0,Negative,282,NA,1,Ian,SP4801,SP4895201273,448952,201273,0,Negative,FALSE,TRUE,NA,Negative,1,175,3,3,100,3,4,12,4,5.0000000000000001E-3,0.609153031954293,NA,282,N,N,<0.2,0.2-0.5,1,0.1,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHT695,1,2017/05/22 00:00:00,2017/05/22 00:00:00,MATCH,8 Hill Farm car park,Pond 8 p Earth Trust Hill Farm,0.48611111111111116,8,Hill Farm car park,Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/05 00:00:00,12,0,Negative,8,1,NA,Ian,SU5692,SU5625492573,456254,192573,0,Negative,FALSE,TRUE,Negative,NA,1,32,1,1.5,5,3,4,7,3,0,0.5992323495057965,NA,8,N,N,<0.2,0.1-0.2,1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252181,0,0,7767,0,0,0,0,0,0,0,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT876,1,2017/06/15 00:00:00,2017/06/15 00:00:00,MATCH,66 UTC Oxfordshire SUDS (2nd summer of existance),66P - UTC College,0.4822110662446797,66,UTC Oxfordshire SUDS (2nd summer of existance),Freshwater Habitats Trust,ID,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,0,Negative,66,1,NA,Ian,SU5089,SU5047789615,450477,189615,0,Negative,FALSE,TRUE,Negative,NA,1,300,NOT YET - 2nd summer of existance,4,0,3,4,3,3.5,5,NA,HSI 3,66,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT485,1,2017/06/12 00:00:00,2017/06/12 00:00:00,MATCH,THE DAIRY.SMALLEST POND,7A The Dairy (SP 7356216879),0.4773451186494666,NA,THE DAIRY.SMALLEST POND,Freshwater Habitats Trust,AH,2017/06/12 11:00:00,2017/06/16 00:00:00,6,No,No,Yes,Yes,NA,2017/06/20 00:00:00,12,1,Positive,NA,NA,1,Adrianna,SP7316,SP7357016910,473570,216910,1,Positive,FALSE,FALSE,NA,Positive,1,300,1,4,100,2,3,7,4,80,0.7388518006736831,NA,7a,N,Y,<0.2,0.5-1,1,0.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309140,0,20926,0,0,0,15393,0,0,0,0,0,0,123825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT618,1,2017/06/21 00:00:00,2017/06/21 00:00:00,MATCH,Melchbourne Bloms Bulbs,351/853 - Melchbourne Field Pond,0.4596920289855073,NA,Melchbourne Bloms Bulbs,Freshwater Habitats Trust,HW,2017/06/21 15:15:00,2017/07/03 00:00:00,6,No,No,Yes,No,NA,2017/07/04 00:00:00,12,0,Negative,NA,NA,1,Penny/Jeremy,TL0365,TL03836572,503830,265720,0,Negative,FALSE,TRUE,NA,Negative,1,160,3,4,10,2,3,10,4,75,0.7635264500186809,NA,351 / 853,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT618,2,2017/06/21 00:00:00,2017/06/21 00:00:00,MATCH,Melchbourne Bloms Bulbs,351/853 - Melchbourne Field Pond,0.4596920289855073,NA,Melchbourne Bloms Bulbs,Freshwater Habitats Trust,HW,2017/06/21 15:15:00,2017/07/03 00:00:00,6,No,No,Yes,No,NA,2017/07/04 00:00:00,12,0,Negative,NA,NA,1,Penny/Jeremy,TL0365,TL03836572,503830,265720,0,Negative,FALSE,TRUE,NA,Negative,1,160,3,4,10,2,3,10,4,75,0.7635264500186809,NA,351 / 853,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT682,1,2017/05/23 00:00:00,2017/05/23 00:00:00,MATCH,Sump Pond at wood edge ditches - Badbury Forest by Nursery Cottage - Coleshill & Buscot - National Trust,Pond 338 Buscot NT estate,0.4543356643356644,NA,Sump Pond at wood edge ditches - Badbury Forest by Nursery Cottage - Coleshill & Buscot - National Trust,Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/01 00:00:00,12,0,Negative,NA,NA,1,IS,SU2696,SU2636196295,426361,196295,0,Negative,FALSE,TRUE,NA,Negative,1,50,4,1.5,100,3,4,9,4,1,0.42625208763159456,NA,338a,N,N,0.5-1,0.1-0.2,0,0.75,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT680,1,2017/05/23 00:00:00,2017/05/23 00:00:00,MATCH,"Shooting Pond ? NW edge of Badbury Forest, Coleshill and Buscot National Trust",Pond 347a Buscot NT Estate,0.44968919968919974,NA,"Shooting Pond ? NW edge of Badbury Forest, Coleshill and Buscot National Trust",Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/01 00:00:00,12,0,Negative,NA,NA,1,IS,SU2596,SU2558196509,425581,196509,0,Negative,FALSE,TRUE,NA,Negative,1,150,3,3,50,2,4,9,4,60,0.7555241264433094,NA,347a,N,N,0.2-0.5,0.05-0.1,1,0.35,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108063,0,50656,7897,0,0,50522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10901,0,0,0,0,0,0,0,0,0,0,16860,5979,0,0,2825
FHT855,1,2017/06/07 00:00:00,2017/06/07 00:00:00,MATCH,760 BERNWOOD MEADOW GCN POND  760,Bernwood Forest 1,0.4490493166963756,760,BERNWOOD MEADOW GCN POND  760,Freshwater Habitats Trust,Penny Williams,2017/06/07 07:50:00,2017/06/16 00:00:00,6,No,No,Yes,Yes,NA,2017/06/22 00:00:00,12,0,Negative,760,NA,1,Penny Williams,SP6111,SP6113011080,461130,211080,0,Negative,FALSE,TRUE,NA,Negative,1,120,3,4,35,3,4,9,4,25,0.7651159758379419,NA,760,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT874,1,2017/06/13 00:00:00,2017/06/13 00:00:00,MATCH,"414 Pond north of play area, ISHREE BAGH, East of Maharajars Well, Stoke Well",414 - Stoke Row,0.44527417027417027,414,"Pond north of play area, ISHREE BAGH, East of Maharajars Well, Stoke Well",Freshwater Habitats Trust,IS,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,5,Positive,414,NA,1,Ian,SU6884,SU6809984121,468099,184121,5,Positive,FALSE,FALSE,NA,Positive,1,260,3.5,2,95,3,4,>12,4,0,0.6124485994013975,NA,414,N,N,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222789,527310,4208,139,0,0,51504,0,0,306,29474,0,0,12661,0,0,0,0,8036,0,0,0,3261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
